"query","search interest","increase percent"
"barbie the movie",100,"-40%"
"the barbie movie",97,"-50%"
"barbie movie 2023",32,"Breakout"
"barbie 2023",31,"Breakout"
"barbie movies",22,"-80%"
"new barbie movie",17,"-20%"
"barbie movie cast",15,"250%"
"barbie movie release",15,"300%"
"oppenheimer",14,"Breakout"
"barbie movie ken",14,"200%"
"ken barbie movie",14,"200%"
"oppenheimer movie",13,"Breakout"
"ken",13,"190%"
"ken barbie",13,"180%"
"barbie cast",13,"200%"
"barbie release date",13,"350%"
"barbie movie release date",13,"350%"
"watch barbie movie",12,"-50%"
"barbie movie near me",9,"1,550%"
"the new barbie movie",9,"30%"
"movie theater",8,"140%"
"barbie movie theater",8,"140%"
"barbie movie margot robbie",8,"Breakout"
"barbie showtimes",8,"1,550%"
"margot robbie barbie movie",8,"Breakout"
"barbie movie showtimes",8,"1,550%"
"barbie movie doll",8,"-60%"
"margot robbie barbie",8,"Breakout"
"how long is barbie movie",8,"2,150%"
"margot robbie",8,"Breakout"
"barbie doll",7,"-60%"
"when does barbie movie come out",7,"900%"
"barbie movie trailer",7,"30%"
"barbie trailer",6,"20%"
"mermaid barbie movie",6,"-80%"
"barbie movie amc",6,"800%"
"how long is the barbie movie",6,"2,050%"
"barbie mermaid movie",6,"-80%"
"barbie mermaid",6,"-80%"
"barbie movie rating",6,"1,650%"
"amc barbie movie",5,"650%"
"amc",5,"650%"
"ryan gosling",5,"Breakout"
"barbie reviews",5,"600%"
"when does the barbie movie come out",5,"750%"
"barbie movie reviews",4,"550%"
"barbie movie time",4,"40%"
"barbie movie where to watch",4,"1,150%"
"barbie movie dolls",4,"-50%"
"ken in barbie movie",4,"300%"
